company_name,platform,industry,estimated_ad_volume,source,notes
Coca-Cola,Both,CPG/Beverages,1000+,"Sensor Tower 2025; Agility PR 2025; Blue Bear Creative 2024","Allocated 25% of ad spend to TikTok in 2024; UGC campaigns on both platforms"
Comcast,Both,Telecom/Media,1000+,"Ad Age 2025; Sensor Tower 2024","Top 2 US advertiser overall; top 5 TikTok spender 2023"
Deutsche Telekom (T-Mobile),Both,Telecom,1000+,"Sensor Tower 2024","Joined top 10 US advertisers by total ad spend in 2024"
Disney (The Walt Disney Company),Both,Entertainment/Media,1000+,"Adweek/MediaRadar 2024; Statista 2020","#1 TikTok spender in 2024; historically largest Facebook advertiser ($311M in 2020)"
DoorDash,Both,Food Delivery/Tech,1000+,"Sensor Tower 2025; Marketing Brew 2024","Allocated 25% of ad spend to TikTok in 2024; top 5 TikTok spender 2023"
Domino's,Both,Food/QSR,500-1000,"Ad Age 2024","Among 10 most-advertised restaurant brands in US"
Dunkin' (Inspire Brands),Both,Food/QSR,500-1000,"inBeat Agency 2025; Ad Age 2024","Charli D'Amelio partnership drove massive TikTok engagement; top restaurant advertiser"
e.l.f. Cosmetics,Both,Beauty/Cosmetics,500-1000,"GoatAgency 2024; inBeat Agency 2025","Connected gaming and makeup in campaigns; Power Grip Primer 150M TikTok views"
Expedia,Both,Travel,500-1000,"Sensor Tower 2024","Joined top 10 US advertisers by total ad spend in 2024"
Fenty Beauty,Both,Beauty/Cosmetics,500-1000,"Cosmetify Index 2024","13M Instagram followers 3M TikTok followers; top beauty brand"
Ford,Both,Auto,500-1000,"Ad Age Future Titans 2024","Named in MediaRadar Future Titans of Advertising report"
Funfly,Both,Gaming,1000+,"MobileGamer.biz 2024","$1.15B revenue; major mobile game publisher and advertiser"
Guess,TikTok,Fashion,100-500,"inBeat Agency 2025","Early TikTok adopter with branded challenges"
Hawker,TikTok,Fashion/Accessories,100-500,"inBeat Agency 2025","Notable TikTok video advertiser"
Heinz (Kraft Heinz),Both,CPG/Food,500-1000,"Blue Bear Creative 2024","Draw Ketchup TikTok challenge drove viral engagement"
L'Oreal Group,Both,Beauty/Cosmetics,1000+,"Statista 2024; Ad Age 2025; Sprinklr 2025","€13.36B global ad spend; 60%+ digital budget on social; partners with 60K+ influencers"
Lululemon,Both,Fashion/Athleisure,500-1000,"Ad Age Future Titans 2024","Named in MediaRadar Future Titans of Advertising report"
Macy's,Meta,Retail,500-1000,"Catapult 2025","85% increase in Q1 digital spend; Instagram 51% Facebook 23%"
Maybelline (L'Oreal),Both,Beauty/Cosmetics,1000+,"BusinessModelAnalyst 2025; Cannes Lions 2023","World's largest makeup brand; Silver at Cannes for social/gaming campaigns"
McDonald's,Both,Food/QSR,1000+,"Agility PR 2025; Digital Agency Network 2025","$700M+ ad budget; major video campaigns on Meta and TikTok"
Moon Active,Both,Gaming,1000+,"MobileGamer.biz 2024","$977M revenue; Coin Master publisher; heavy social media advertiser"
NBA,Both,Sports/Entertainment,500-1000,"Statista 2024","$894.6M TikTok EMV; major video content creator on both platforms"
Netflix,Both,Entertainment/Streaming,1000+,"Sensor Tower 2024; Ad Age 2024","Major media & entertainment advertiser; top category on TikTok"
NFL,Both,Sports/Entertainment,500-1000,"Statista 2024","$688.2M TikTok EMV; significant video advertising presence"
Nike,Both,Fashion/Sports,1000+,"Ad Age 2025; Multiple sources","One of world's largest advertisers; heavy video presence on Meta and TikTok"
PepsiCo,Both,CPG/Beverages,1000+,"Marketing Dive 2024; Agility PR 2025","$2.5B+ annual ad budget; Undercover Cups campaign across all social platforms"
Playrix,Both,Gaming,1000+,"MobileGamer.biz 2024","Top 5 mobile game publisher; heavy UA spend on Facebook and TikTok"
Procter & Gamble,Both,CPG,1000+,"Adweek/MediaRadar 2024; Statista 2020","Spent 159% more on TikTok in 2024; historically #2 Facebook advertiser ($284M in 2020)"
Progressive,Both,Insurance/Finance,1000+,"Ad Age/MediaRadar 2024; Sensor Tower 2024","Top 3 most-advertised brand in US 2024; joined top 10 overall in 2024"
Rhode (Hailey Bieber),Both,Beauty/Skincare,100-500,"Cosmetify Index 2024","232% monthly search growth YoY; 3.19M combined social followers"
Robinhood,Both,Finance/Fintech,500-1000,"iSpot 2025; Multiple sources","26.7M customers; advertises on Facebook Twitter YouTube; Super Bowl advertiser"
Schwarzkopf (Henkel),TikTok,Beauty/Hair Care,100-500,"inBeat Agency 2025","Notable TikTok video advertiser"
Scopely,Both,Gaming,1000+,"MobileGamer.biz 2024; Sensor Tower 2024","$500M in advertising for Monopoly Go; $1.99B total revenue"
SHEIN,Both,Fashion/E-commerce,1000+,"Euromonitor 2024; CNBC 2024","#1 brand on TikTok; stream of coupons and discount codes; massive influencer program"
Sol de Janeiro,Both,Beauty/Skincare,500-1000,"Cosmetify Index 2024","Hottest beauty brand 2024; 2.4M IG and 2.4M TikTok followers"
Starface,TikTok,Beauty/Skincare,100-500,"inBeat Agency 2025","Playful TikTok ads that don't feel like advertising"
Step (Teen Banking),TikTok,Finance/Fintech,100-500,"House of Marketers 2024","Strong TikTok presence targeting young adults with financial content"
Starbucks,Both,Food/QSR,500-1000,"Ad Age 2024","Among 10 most-advertised restaurant brands in US"
Supercell,Both,Gaming,1000+,"MobileGamer.biz 2024; The Drum 2024","$1.44B revenue in 2024; major Hollywood collaboration ads; Brawl Stars comeback"
Taco Bell (Yum! Brands),Both,Food/QSR,500-1000,"Ad Age 2024","Among 10 most-advertised restaurant brands in US"
Target,Both,Retail,1000+,"Adweek/MediaRadar 2024","Spent 173% more on TikTok ads in 2024 YoY; top 10 TikTok spender"
Temu (PDD Holdings),Both,E-commerce,1000+,"Sensor Tower 2024; CNBC 2024; MobileLoud 2025","Reportedly $1B/month marketing budget; Super Bowl ads; omnipresent on YouTube TikTok and Facebook"
Uber,Both,Tech/Transportation,1000+,"Sensor Tower 2025; Adweek/MediaRadar 2024","30% of ad spend allocated to TikTok in 2024; spent 135% more on TikTok YoY"
Unilever,Both,CPG,1000+,"eMarketer 2025; Just Food 2024","Plans to spend 50% of media budget on influencer-first strategy; Dove Real Beauty"
Verizon,Both,Telecom,1000+,"Ad Age Future Titans 2024; Ad Age 2025","Named in MediaRadar Future Titans report; telecom leading digital ad growth"
Walmart,Both,Retail,1000+,"Ad Age/MediaRadar 2024; Adweek 2024","Top 3 most-advertised brand in US 2024; spent 168% more on TikTok in 2024"
Zynga (Take-Two),Both,Gaming,1000+,"MobileGamer.biz 2024; Pocket Gamer 2025","$697M revenue; 200+ titles via Rollic; 2B+ downloads; multiple award-nominated campaigns"
Charlotte Tilbury,Both,Beauty/Cosmetics,500-1000,"Cosmetify Index 2024","6.9M Instagram 1.7M TikTok followers; top beauty brand 2023 and 2024"
Pepsi Max,TikTok,CPG/Beverages,500-1000,"inBeat Agency 2025","Notable TikTok video advertising campaigns"
NetEase,Both,Gaming,1000+,"MobileGamer.biz 2024","Top 5 global mobile game publisher; heavy UA spending"
Bandai Namco,Both,Gaming,500-1000,"MobileGamer.biz 2024","$899M revenue; notable mobile game advertiser"
Samsung,Both,Tech/Electronics,1000+,"Ad Age 2025; Multiple sources","One of world's largest tech advertisers; heavy video presence on both platforms"
Huda Beauty,Both,Beauty/Cosmetics,500-1000,"Cosmetify Index 2024","Best social media beauty brand 2024; 56.9M Instagram followers"
Mogu Mogu,TikTok,CPG/Beverages,100-500,"inBeat Agency 2025","Notable TikTok video advertiser in beverages"
Spikeball,TikTok,Sports/Recreation,100-500,"inBeat Agency 2025","Thriving on TikTok with engaging video content"
Vessi,TikTok,Fashion/Footwear,100-500,"inBeat Agency 2025","Notable TikTok video advertiser in footwear"
Last Crumb,TikTok,Food/DTC,100-500,"inBeat Agency 2025","Thriving DTC brand on TikTok with video ads"
Klarna,Both,Finance/Fintech,500-1000,"PPC Land 2025; Klarna IPO Filing 2024","$180M advertising revenue in 2024; 150M shoppers; active on TikTok and Meta"
P Louise,TikTok,Beauty/Cosmetics,500-1000,"TheIndustry.beauty 2024","First UK brand to make £1.5M in 12 hours on TikTok Shop Live"
Revolut,Meta,Finance/Fintech,500-1000,"Graphically 2026","Top-performing Facebook video ads with minimalist approach"
Sensodyne (Haleon),Meta,Health/Oral Care,100-500,"Graphically 2026","Notable Facebook video ad performer"
Anyday,Meta,Home/Kitchen,100-500,"Shopify 2025","Combining recipe tutorials with compelling Facebook video ad copy"
HP,Meta,Tech/Hardware,100-500,"Blue Point Ads 2025","Elite Dragonfly featured in notable Facebook video ads"
